"lon","lat","PrimLand","pasture","cropland","urban","Hmpop","Dep"
-68.5,-17.5,0,0.5,0.01,0,5.09,1
-67.5,-17.5,0,0.4,0.01,0,21.04,1
-66.5,-17.5,0.03,0.65,0.02,0.01,83.65,0
-65.5,-17.5,0.31,0.49,0.02,0,17.87,0
11.5,-17.5,0.23,0,0,0,0.94,0
-70.5,-18.5,0.42,0.01,0,0,37.62,0
-69.5,-18.5,0,0.25,0,0,10.01,0
-68.5,-18.5,0,0.3,0,0,1.29,1
-67.5,-18.5,0,0.18,0,0,6.95,1
-66.5,-18.5,0.04,0.62,0,0,18.39,1
-65.5,-18.5,0.22,0.56,0.02,0,23.89,0
11.5,-18.5,0.03,0,0,0,0.79,0
12.5,-18.5,0.7,0.11,0,0,0.79,0
32.5,-18.5,0,0.15,0.02,0.01,47.53,0
-70.5,-19.5,0.2,0.02,0,0,1.14,0
